,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
202,Quinn Cook,2017,2019,G,6-2,179,"March 23, 1993",Duke University
203,Charles Cooke,2018,2018,G,6-5,196,"July 1, 1994",University of Dayton
204,David Cooke,1986,1986,F,6-8,230,"September 27, 1963",Saint Mary's College of California
205,Joe Cooke,1971,1971,G,6-3,175,"August 14, 1948",Indiana University
206,Jack Cooley,2015,2018,F-C,6-9,260,"April 4, 1991",University of Notre Dame
207,Chuck Cooper*,1951,1956,F,6-5,210,"September 29, 1926",Duquesne University
208,Duane Cooper,1993,1994,G,6-1,185,"June 25, 1969",University of Southern California
209,Joe Cooper,1982,1985,C-F,6-10,230,"September 1, 1957","Howard University, University of Tulsa, University of Colorado"
210,Michael Cooper,1979,1990,G-F,6-5,170,"April 15, 1956",University of New Mexico
211,Wayne Cooper,1979,1992,C-F,6-10,220,"November 16, 1956",University of New Orleans
212,Tom Copa,1992,1992,C,6-10,275,"October 30, 1964",Marquette University
213,Chris Copeland,2013,2016,F,6-9,239,"March 17, 1984",University of Colorado
214,Hollis Copeland,1980,1982,F,6-6,180,"December 20, 1955",Rutgers University
215,Lanard Copeland,1990,1992,G,6-6,190,"July 16, 1965",Georgia State University
216,Tyrone Corbin,1986,2001,G-F,6-6,210,"December 31, 1962",DePaul University
217,Chris Corchiani,1992,1994,G,6-0,185,"March 28, 1968",North Carolina State University
218,Ken Corley,1947,1947,C,6-5,210,"May 10, 1920",Central State College
219,Ray Corley,1950,1953,G,6-0,180,"January 1, 1928",Georgetown University
220,Dave Corzine,1979,1991,C,6-11,250,"April 25, 1956",DePaul University
221,Larry Costello,1955,1968,G,6-1,186,"July 2, 1931",Niagara University
222,Matt Costello,2018,2018,F,6-9,245,"August 5, 1993",Michigan State University
223,Bryce Cotton,2015,2016,G,6-1,165,"August 11, 1992",Providence College
224,Jack Cotton,1950,1950,F-C,6-7,200,"October 25, 1924",University of Wyoming
225,James Cotton,1998,1999,G,6-5,220,"December 14, 1975","California State University, Long Beach"
226,John Coughran,1980,1980,F,6-7,225,"September 12, 1951",University of California
227,Mel Counts,1965,1976,C-F,7-0,230,"October 16, 1941",Oregon State University
228,Steve Courtin,1965,1965,G,6-1,188,"September 21, 1942",Saint Joseph's University
229,Joe Courtney,1993,1997,F,6-8,235,"October 17, 1969","Mississippi State University, University of Southern Mississippi"
230,Marcus Cousin,2011,2011,C,6-11,245,"December 18, 1986","Seton Hall University, University of Houston"
231,DeMarcus Cousins,2011,2019,C-F,6-11,270,"August 13, 1990",University of Kentucky
232,Bob Cousy*,1951,1970,G,6-1,175,"August 9, 1928",College of the Holy Cross
233,Robert Covington,2014,2019,F,6-9,225,"December 14, 1990",Tennessee State University
234,Dave Cowens*,1971,1983,C-F,6-9,230,"October 25, 1948",Florida State University
235,Chubby Cox,1983,1983,G,6-2,180,"December 29, 1955","Villanova University, University of San Francisco"
236,Johnny Cox,1963,1963,G,6-4,180,"November 1, 1936",University of Kentucky
237,Wesley Cox,1978,1979,F,6-6,215,"January 27, 1955",University of Louisville
238,Allen Crabbe,2014,2019,G-F,6-6,212,"April 9, 1992",University of California
239,Torrey Craig,2018,2019,G-F,6-7,215,"December 19, 1990",University of South Carolina Upstate
240,Chris Crawford,1998,2004,F,6-9,235,"May 13, 1975",Marquette University
241,Freddie Crawford,1967,1971,G-F,6-4,189,"December 23, 1941",St. Bonaventure University
242,Jamal Crawford,2001,2019,G,6-5,185,"March 20, 1980",University of Michigan
243,Joe Crawford,2009,2009,F,6-5,210,"June 17, 1986",University of Kentucky
244,Jordan Crawford,2011,2018,G,6-4,195,"October 23, 1988","Indiana University, Xavier University"
245,Mitch Creek,2019,2019,G,6-5,216,"April 27, 1992",
246,Jim Creighton,1976,1976,F,6-8,200,"April 18, 1950",University of Colorado
247,Ron Crevier,1986,1986,C,7-0,235,"April 14, 1958",Boston College
248,Hal Crisler,1947,1947,F,6-3,215,"December 31, 1923",Iowa State University
249,Joe Crispin,2002,2002,G,6-0,185,"July 18, 1979",Pennsylvania State University
250,Charlie Criss,1978,1985,G,5-8,165,"November 6, 1948",New Mexico State University
251,Russell Critchfield,1969,1969,G,5-10,150,"June 27, 1946",University of California
252,Winston Crite,1988,1989,F,6-7,233,"June 20, 1965",Texas A&M University
253,Javaris Crittenton,2008,2009,G,6-5,200,"December 31, 1987",Georgia Institute of Technology
254,Dillard Crocker,1949,1953,F-G,6-4,205,"January 19, 1925",Western Michigan University
255,Bobby Croft,1971,1971,C,6-10,200,"March 17, 1946",University of Tennessee
256,Geoff Crompton,1979,1984,C,6-11,280,"July 4, 1955",University of North Carolina
257,Terry Crosby,1980,1980,G,6-4,195,"January 4, 1957",University of Tennessee
258,Austin Croshere,1998,2009,F,6-9,235,"May 1, 1975",Providence College
259,Jeff Cross,1986,1986,F,6-10,240,"September 1, 1961",University of Maine
260,Pete Cross,1971,1973,C-F,6-9,230,"March 28, 1948",University of San Francisco
261,Russell Cross,1984,1984,C,6-10,215,"September 5, 1961",Purdue University
262,Chink Crossin,1948,1950,G,6-1,165,"July 4, 1923",University of Pennsylvania
263,John Crotty,1993,2003,G,6-1,185,"July 15, 1969",University of Virginia
264,Bill Crow,1968,1968,G,6-1,180,"December 9, 1940",Westminster College of Utah
265,Mark Crow,1978,1978,F,6-7,210,"October 22, 1954",Duke University
266,Corey Crowder,1992,1995,G-F,6-5,214,"April 13, 1969",Kentucky Wesleyan College
267,Jae Crowder,2013,2019,F,6-6,235,"July 6, 1990",Marquette University
268,Al Cueto,1970,1971,C-F,6-7,230,"August 2, 1946",University of Tulsa
269,Pat Cummings,1980,1991,F-C,6-9,230,"July 11, 1956",University of Cincinnati
270,Terry Cummings,1983,2000,F,6-9,220,"March 15, 1961",DePaul University
271,Vonteego Cummings,2000,2002,G,6-3,185,"February 29, 1976",University of Pittsburgh
272,Billy Cunningham*,1966,1976,F-C,6-6,210,"June 3, 1943",University of North Carolina
273,Dante Cunningham,2010,2019,F,6-8,230,"April 22, 1987",Villanova University
274,Dick Cunningham,1969,1975,C,6-10,245,"July 11, 1946",Murray State University
275,Jared Cunningham,2013,2016,G,6-4,195,"May 22, 1991",Oregon State University
276,William Cunningham,1998,1999,C,6-11,250,"March 25, 1974",Temple University
277,Radisav Curcic,1993,1993,C,6-10,275,"September 26, 1965",
278,Armand Cure,1947,1947,F,6-0,198,"August 1, 1919",University of Rhode Island
279,Earl Cureton,1981,1997,F-C,6-9,210,"September 3, 1957","Robert Morris University (PA), University of Detroit Mercy"
280,Bill Curley,1995,2001,F,6-9,220,"May 29, 1972",Boston College
281,Fran Curran,1949,1950,G,6-0,175,"September 9, 1922",University of Notre Dame
282,Dell Curry,1987,2002,G,6-4,190,"June 25, 1964",Virginia Polytechnic Institute and State University
283,Eddy Curry,2002,2013,C,7-0,295,"December 5, 1982",
284,JamesOn Curry,2010,2010,G,6-3,190,"January 7, 1986",Oklahoma State University
285,Michael Curry,1994,2005,F-G,6-5,210,"August 22, 1968",Georgia Southern University
286,Seth Curry,2014,2019,G,6-2,185,"August 23, 1990","Liberty University, Duke University"
287,Stephen Curry,2010,2019,G,6-3,190,"March 14, 1988",Davidson College
288,Rastko Cvetkovic,1996,1996,C,7-1,260,"June 22, 1970",
0,Mike D'Antoni,1974,1977,G,6-3,185,"May 8, 1951",Marshall University
1,Mike Dabich,1968,1968,C,7-0,242,"December 27, 1942",New Mexico State University
2,Ed Dahler,1952,1952,F,6-5,190,"January 31, 1926",Duquesne University
3,Quintin Dailey,1983,1992,G,6-3,180,"January 22, 1961",University of San Francisco
4,Samuel Dalembert,2002,2015,C,6-11,255,"May 10, 1981",Seton Hall University
5,Howie Dallmar,1947,1949,F,6-4,200,"May 24, 1922",Stanford University
6,Erick Dampier,1997,2012,C,6-11,265,"July 14, 1975",Mississippi State University
7,Louie Dampier*,1968,1979,G,6-0,170,"November 20, 1944",University of Kentucky
8,Bob Dandridge,1970,1982,F-G,6-6,195,"November 15, 1947",Norfolk State University
9,Antonio Daniels,1998,2011,G,6-4,195,"March 19, 1975",Bowling Green State University
10,Erik Daniels,2005,2005,F,6-8,214,"April 1, 1982",University of Kentucky
11,Lloyd Daniels,1993,1998,G,6-7,205,"September 4, 1967",Mount San Antonio College
12,Marquis Daniels,2004,2013,G-F,6-6,200,"January 7, 1981",Auburn University
13,Mel Daniels*,1968,1977,C,6-9,220,"July 20, 1944",University of New Mexico
14,Troy Daniels,2014,2019,G,6-4,205,"July 15, 1991",Virginia Commonwealth University
15,Sasha Danilovic,1996,1997,G,6-5,200,"February 26, 1970",
16,Adrian Dantley*,1977,1991,F-G,6-5,208,"February 28, 1956",University of Notre Dame
17,Pete Darcey,1953,1953,C,6-7,217,"March 3, 1930",Oklahoma State University
18,Jimmy Darden,1950,1950,G,6-1,170,"June 19, 1922",University of Denver
19,Ollie Darden,1968,1970,F-C,6-7,235,"July 28, 1944",University of Michigan
20,Yinka Dare,1995,1998,C,7-0,265,"October 10, 1972",George Washington University
21,Jesse Dark,1975,1975,G,6-5,210,"September 2, 1951",Virginia Commonwealth University
22,Rick Darnell,1976,1976,C-F,6-10,215,"January 1, 1953",San Jose State University
23,Jimmy Darrow,1962,1962,G,5-10,170,"September 25, 1937",Bowling Green State University
24,Luigi Datome,2014,2015,F,6-8,215,"November 27, 1987",
25,Brad Daugherty,1987,1994,C,7-0,245,"October 19, 1965",University of North Carolina
26,Mack Daughtry,1971,1971,G,6-3,175,,Albany State University
27,Kornel David,1999,2001,F,6-9,235,"October 22, 1971",
28,Jermareo Davidson,2008,2009,F,6-10,230,"November 15, 1984",University of Alabama
29,Bob Davies*,1949,1955,G-F,6-1,175,"January 15, 1920",Seton Hall University
30,Brandon Davies,2014,2015,F,6-10,240,"July 25, 1991",Brigham Young University
31,Anthony Davis,2013,2019,F-C,6-10,253,"March 11, 1993",University of Kentucky
32,Antonio Davis,1994,2006,F-C,6-9,215,"October 31, 1968",University of Texas at El Paso
33,Aubrey Davis,1947,1947,G-F,6-2,175,"March 28, 1921",Oklahoma Baptist University
34,Baron Davis,2000,2012,G,6-3,209,"April 13, 1979","University of California, Los Angeles"
35,Ben Davis,1997,2000,F,6-9,240,"December 26, 1972","University of Kansas, University of Arizona"
36,Bill Davis,1947,1947,F,6-3,215,"October 3, 1920",University of Notre Dame
37,Bob Davis,1973,1973,F,6-7,215,"April 2, 1950",Weber State University
38,Brad Davis,1978,1992,G,6-3,180,"December 17, 1955",University of Maryland
39,Brian Davis,1994,1994,F-G,6-7,200,"June 21, 1970",Duke University
40,Charles Davis,1982,1990,F,6-7,215,"October 5, 1958",Vanderbilt University
41,Charlie Davis,1972,1974,G,6-2,160,"September 7, 1949",Wake Forest University
42,Dale Davis,1992,2007,F-C,6-11,230,"March 25, 1969",Clemson University
43,Deyonta Davis,2017,2019,C-F,6-11,237,"December 2, 1996",Michigan State University
44,Dwight Davis,1973,1977,F,6-8,220,"October 28, 1949",University of Houston
45,Ed Davis,2011,2019,F,6-10,225,"June 5, 1989",University of North Carolina
46,Emanual Davis,1997,2003,G,6-4,195,"August 27, 1968",Delaware State University
47,Glen Davis,2008,2015,F-C,6-9,289,"January 1, 1986",Louisiana State University
48,Harry Davis,1979,1980,F,6-7,220,"January 27, 1956",Florida State University
49,Hubert Davis,1993,2004,G,6-5,183,"May 17, 1970",University of North Carolina
50,Jim Davis,1968,1975,C-F,6-9,225,"December 18, 1941",University of Colorado
51,Johnny Davis,1977,1986,G,6-2,170,"October 21, 1955",University of Dayton
52,Josh Davis,2004,2012,F,6-8,235,"August 10, 1980",University of Wyoming
53,Lee Davis,1969,1976,C-F,6-8,235,"October 11, 1945",North Carolina Central University
54,Mark Davis,1989,1989,F-G,6-6,195,"June 8, 1963",Old Dominion University
55,Mark Davis,1996,2000,G-F,6-7,210,"April 26, 1973","Howard College, Texas Tech University"
56,Mel Davis,1974,1977,F,6-6,220,"November 9, 1950",St. John's University
57,Mickey Davis,1972,1977,F-G,6-7,195,"June 16, 1950",Duquesne University
58,Mike Davis,1970,1973,G,6-3,185,"July 26, 1946",Virginia Union University
59,Mike Davis,1983,1983,F,6-10,230,"August 2, 1956",University of Maryland
60,Monti Davis,1981,1981,F,6-7,205,"July 26, 1958",Tennessee State University
61,Paul Davis,2007,2010,C,6-11,270,"July 21, 1984",Michigan State University
62,Ralph Davis,1961,1962,G,6-4,180,"September 7, 1938",University of Cincinnati
63,Red Davis,1956,1956,C,6-7,220,"April 22, 1932",St. John's University
64,Ricky Davis,1999,2010,G,6-6,195,"September 23, 1979",University of Iowa
65,Ron Davis,1977,1982,G-F,6-6,198,"May 1, 1954",Washington State University
66,Terry Davis,1990,2001,F-C,6-9,225,"June 17, 1967",Virginia Union University
67,Tyler Davis,2019,2019,C,6-10,266,"May 22, 1997",Texas A&M University
68,Walt Davis,1954,1958,C-F,6-8,205,"January 5, 1931",Texas A&M University
69,Walter Davis,1978,1992,G-F,6-6,193,"September 9, 1954",University of North Carolina
70,Warren Davis,1968,1973,F-C,6-6,212,"June 30, 1943",North Carolina Agricultural and Technical State University
71,Willie Davis,1971,1971,C,6-8,234,"August 9, 1945",University of North Texas
72,Andre Dawkins,2015,2015,G,6-5,215,"September 19, 1991",Duke University
73,Darryl Dawkins,1976,1989,C,6-11,251,"January 11, 1957",
74,Johnny Dawkins,1987,1995,G,6-2,165,"September 28, 1963",Duke University
75,Paul Dawkins,1980,1980,F,6-5,190,"June 10, 1957",Northern Illinois University
76,Branden Dawson,2016,2016,F,6-6,225,"February 1, 1993",Michigan State University
77,Eric Dawson,2012,2012,F,6-9,250,"July 7, 1984",Midwestern State University
78,Jimmy Dawson,1968,1968,G,6-0,175,"April 18, 1945",University of Illinois at Urbana-Champaign
79,Tony Dawson,1991,1995,F,6-7,215,"August 25, 1967",Florida State University
80,Todd Day,1993,2001,G-F,6-6,188,"January 7, 1970",University of Arkansas
81,Austin Daye,2010,2015,F,6-11,220,"June 5, 1988",Gonzaga University
82,Darren Daye,1984,1988,F-G,6-8,220,"November 30, 1960","University of California, Los Angeles"
83,Nando De Colo,2013,2014,G,6-5,200,"June 23, 1987",
84,Greg Deane,1980,1980,G,6-4,190,"December 6, 1957",University of Utah
85,Billy DeAngelis,1971,1971,G,6-1,180,"October 5, 1946",Saint Joseph's University
86,Dave DeBusschere*,1963,1974,F-G,6-6,220,"October 16, 1940",University of Detroit Mercy
87,Andrew DeClercq,1996,2005,F-C,6-10,230,"February 1, 1973",University of Florida
88,Dewayne Dedmon,2014,2019,C,7-0,245,"August 12, 1989",University of Southern California
89,Don Dee,1969,1969,F,6-8,210,"August 9, 1943",Saint Mary of the Plains College
90,Archie Dees,1959,1962,F-C,6-8,205,"February 22, 1936",Indiana University
91,Terry Dehere,1994,1999,G,6-2,190,"September 12, 1971",Seton Hall University
92,Red Dehnert,1947,1947,F,6-3,175,"January 24, 1924",Columbia University
93,Bryce Dejean-Jones,2016,2016,G,6-6,209,"August 21, 1992","University of Southern California, University of Nevada, Las Vegas, Iowa State University"
94,Sam Dekker,2016,2019,F,6-9,230,"May 6, 1994",University of Wisconsin
95,Vinny Del Negro,1989,2002,G,6-4,185,"August 9, 1966",North Carolina State University
96,Malcolm Delaney,2017,2018,G,6-3,190,"March 11, 1989",Virginia Polytechnic Institute and State University
97,Bison Dele,1992,1999,F-C,6-9,235,"April 6, 1969","University of Maryland, University of Arizona"
98,Carlos Delfino,2005,2013,G,6-6,230,"August 29, 1982",
99,Angel Delgado,2019,2019,C,6-10,245,"November 20, 1994",Seton Hall University
100,Tony Delk,1997,2006,G,6-1,189,"January 28, 1974",University of Kentucky
101,Matthew Dellavedova,2014,2019,G,6-4,200,"September 8, 1990",Saint Mary's College of California
102,Nate DeLong,1952,1952,C,6-6,220,"January 5, 1926",University of Wisconsin-River Falls
103,Fennis Dembo,1989,1989,F,6-5,215,"January 24, 1966",University of Wyoming
104,Larry Demic,1980,1982,F-C,6-9,225,"June 27, 1957",University of Arizona
105,Dell Demps,1994,1997,G,6-3,205,"February 12, 1970",University of the Pacific
106,George Dempsey,1955,1959,G,6-2,190,"July 19, 1929",King's College
107,Luol Deng,2005,2019,F,6-9,237,"April 16, 1985",Duke University
108,Kenny Dennard,1982,1984,F,6-8,220,"October 18, 1958",Duke University
109,Blaine Denning,1953,1953,G,6-2,175,"September 19, 1930",Lawrence Technological University
110,Justin Dentmon,2012,2013,G,5-11,185,"September 5, 1985",University of Washington
111,Randy Denton,1972,1977,C,6-10,240,"February 18, 1949",Duke University
112,Joe DePre,1971,1973,G,6-3,185,"December 19, 1947",St. John's University
113,Rod Derline,1975,1976,G,6-0,175,"March 11, 1952",Seattle University
114,DeMar DeRozan,2010,2019,G-F,6-7,220,"August 7, 1989",University of Southern California
115,Marcus Derrickson,2019,2019,F,6-7,249,"February 1, 1996",Georgetown University
116,Dave Deutsch,1967,1967,G,6-1,170,"May 13, 1945",University of Rochester
117,Corky Devlin,1956,1958,G,6-5,195,"December 21, 1931",George Washington University
118,Hank DeZonie,1951,1951,C-F,6-6,215,"February 12, 1922",Clark Atlanta University
119,Derrick Dial,2000,2004,G,6-4,184,"December 20, 1975",Eastern Michigan University
120,Cheick Diallo,2017,2019,F,6-9,220,"September 13, 1996",University of Kansas
121,Hamidou Diallo,2019,2019,G,6-5,198,"July 31, 1998",University of Kentucky
122,Boris Diaw,2004,2017,F-C,6-8,250,"April 16, 1982",
123,Yakhouba Diawara,2007,2010,G-F,6-7,225,"August 29, 1982",Pepperdine University
124,Guillermo Diaz,2008,2008,G,6-2,192,"March 4, 1985",University of Miami
125,Dan Dickau,2003,2008,G,6-0,190,"September 16, 1978","University of Washington, Gonzaga University"
126,Kaniel Dickens,2004,2008,F,6-8,215,"July 21, 1978","Tyler Junior College, University of Idaho"
127,Henry Dickerson,1976,1977,G,6-4,190,"November 27, 1951",University of Charleston
128,Michael Dickerson,1999,2003,G-F,6-5,190,"June 25, 1975",University of Arizona
129,Clyde Dickey,1975,1975,G,6-3,185,"December 14, 1951",Boise State University
130,Derrek Dickey,1974,1978,F,6-7,218,"March 20, 1951",University of Cincinnati
131,Dick Dickey,1952,1952,G,6-1,175,"October 26, 1926",North Carolina State University
132,John Dickson,1968,1968,C,6-10,240,"November 18, 1945",Arkansas State University
133,Travis Diener,2006,2010,G,6-1,175,"March 1, 1982",Marquette University
134,Gorgui Dieng,2014,2019,C,6-11,252,"January 18, 1990",University of Louisville
135,Connie Dierking,1959,1971,C-F,6-9,222,"October 2, 1936",University of Cincinnati
136,Coby Dietrick,1971,1983,C-F,6-10,220,"July 23, 1948",San Jose State University
137,Ernie DiGregorio,1974,1978,G,6-0,180,"January 15, 1951",Providence College
138,Craig Dill,1968,1968,C,6-11,215,"December 17, 1944",University of Michigan
139,Dwaine Dillard,1976,1976,F,6-6,230,"March 9, 1949",Eastern Michigan University
140,Mickey Dillard,1982,1982,G,6-3,170,"October 15, 1958",Florida State University
141,Bob Dille,1947,1947,F,6-3,190,"July 2, 1917",Valparaiso University
142,Hook Dillon,1950,1950,F,6-3,180,"January 8, 1924",University of North Carolina
143,Byron Dinkins,1990,1991,G,6-1,170,"June 15, 1967",University of North Carolina at Charlotte
144,Jackie Dinkins,1972,1972,F,6-5,210,"January 22, 1950",Voorhees College
145,Harry Dinnel,1968,1968,F-G,6-4,200,"October 9, 1940",Pepperdine University
146,Bill Dinwiddie,1968,1972,F,6-7,220,"July 15, 1943",New Mexico Highlands University
147,Spencer Dinwiddie,2015,2019,G,6-6,210,"April 6, 1993",University of Colorado
148,Ike Diogu,2006,2012,F,6-8,250,"September 11, 1983",Arizona State University
149,DeSagana Diop,2002,2013,C,7-0,300,"January 30, 1982",
150,Terry Dischinger,1963,1973,F-G,6-7,189,"November 21, 1940",Purdue University
151,Fred Diute,1955,1955,G,6-3,210,"January 9, 1929",St. Bonaventure University
152,Vlade Divac*,1990,2005,C,7-1,243,"February 3, 1968",
153,Donte DiVincenzo,2019,2019,G,6-4,203,"January 31, 1997",Villanova University
154,Juan Dixon,2003,2009,G,6-3,164,"October 9, 1978",University of Maryland
155,Aleksandar Djordjevic,1997,1997,G,6-2,198,"August 26, 1967",
156,Earl Dodd,1950,1950,F,6-5,175,"November 1, 1924",Truman State University
157,Michael Doleac,1999,2008,C,6-11,262,"June 15, 1977",University of Utah
158,Joe Dolhon,1950,1951,G,6-0,175,"July 9, 1927",New York University
159,Bob Doll,1947,1950,F-C,6-5,195,"August 10, 1919",University of Colorado
160,James Donaldson,1981,1995,C,7-2,275,"August 16, 1957",Washington State University
161,Luka Doncic,2019,2019,G-F,6-7,218,"February 28, 1999",
162,Bob Donham,1951,1954,G-F,6-2,190,"October 11, 1926",Ohio State University
163,Billy Donovan,1988,1988,G,5-11,171,"May 30, 1965",Providence College
164,Harry Donovan,1950,1950,G,6-2,180,"September 10, 1926",Muhlenberg College
165,Keyon Dooling,2001,2013,G,6-3,196,"May 8, 1980",University of Missouri
166,Jacky Dorsey,1978,1981,F,6-7,230,"December 18, 1954",University of Georgia
167,Joey Dorsey,2009,2015,F,6-8,268,"December 16, 1983",University of Memphis
168,Ron Dorsey,1972,1972,F,6-4,200,"October 10, 1948",Tennessee State University
169,Tyler Dorsey,2018,2019,G,6-5,183,"February 18, 1996",University of Oregon
170,Damyean Dotson,2018,2019,G,6-6,210,"May 6, 1994","University of Oregon, University of Houston"
171,Quincy Douby,2007,2009,G,6-3,175,"May 16, 1984",Rutgers University
172,Bruce Douglas,1987,1987,G,6-3,195,"April 9, 1964",University of Illinois at Urbana-Champaign
173,John Douglas,1982,1983,G,6-2,170,"June 12, 1956",University of Kansas
174,Leon Douglas,1977,1983,C-F,6-10,230,"August 26, 1954",University of Alabama
175,Sherman Douglas,1990,2001,G,6-0,180,"September 15, 1966",Syracuse University
176,Toney Douglas,2010,2017,G,6-2,195,"March 16, 1986","Auburn University, Florida State University"
177,Chris Douglas-Roberts,2009,2015,G,6-7,200,"January 8, 1987",University of Memphis
178,Sonny Dove,1968,1972,F,6-7,198,"August 16, 1945",St. John's University
179,Jerry Dover,1972,1972,G,5-7,155,"October 16, 1949",LeMoyne-Owen College
180,Zabian Dowdell,2011,2011,G,6-3,191,"September 10, 1984",Virginia Polytechnic Institute and State University
181,Bill Downey,1948,1948,C,6-6,210,"November 11, 1923",Marquette University
182,Steve Downing,1974,1975,C,6-8,225,"September 9, 1950",Indiana University
183,Danny Doyle,1963,1963,F,6-8,200,"February 6, 1940",Belmont Abbey College
184,Milton Doyle,2018,2018,G,6-4,185,"October 31, 1993",Loyola University of Chicago
185,PJ Dozier,2018,2019,G,6-6,205,"October 25, 1996",University of South Carolina
186,Terry Dozier,1990,1990,F,6-9,210,"June 29, 1966",University of South Carolina
187,Goran Dragic,2009,2019,G,6-3,190,"May 6, 1986",
188,Zoran Dragic,2015,2015,G-F,6-5,200,"June 22, 1989",
189,Greg Dreiling,1987,1997,C,7-1,250,"November 7, 1962","Wichita State University, University of Kansas"
190,Bryce Drew,1999,2004,G,6-2,185,"September 21, 1974",Valparaiso University
191,John Drew,1975,1985,F-G,6-6,205,"September 30, 1954",Gardner-Webb University
192,Larry Drew,1981,1991,G,6-1,170,"April 2, 1958",University of Missouri
193,Larry Drew,2015,2018,G,6-2,180,"March 5, 1990","University of North Carolina, University of California, Los Angeles"
194,Clyde Drexler*,1984,1998,G,6-7,210,"June 22, 1962",University of Houston
195,Nate Driggers,1997,1997,G,6-5,215,"October 12, 1973",University of Montevallo
196,Terry Driscoll,1971,1975,F,6-7,215,"August 28, 1947",Boston College
197,Predrag Drobnjak,2002,2005,C,6-11,270,"October 27, 1975",
198,Ralph Drollinger,1981,1981,C,7-2,250,"April 20, 1954","University of California, Los Angeles"
199,Andre Drummond,2013,2019,C,6-11,279,"August 10, 1993",University of Connecticut
200,Dick Duckett,1958,1958,G,6-1,185,"March 25, 1933",St. John's University
201,Kevin Duckworth,1987,1997,C,7-0,275,"April 1, 1964",Eastern Illinois University
202,Charles Dudley,1973,1979,G,6-2,180,"March 5, 1950",University of Washington
203,Chris Dudley,1988,2003,C,6-11,235,"February 22, 1965",Yale University
204,Jared Dudley,2008,2019,F-G,6-7,237,"July 10, 1985",Boston College
205,Terry Duerod,1980,1983,G,6-2,180,"July 29, 1956",University of Detroit Mercy
206,Bob Duffy,1947,1947,F,6-4,175,"July 5, 1922",Tulane University
207,Bob Duffy,1963,1965,G,6-3,185,"September 26, 1940",Colgate University
208,Chris Duhon,2005,2013,G,6-1,185,"August 31, 1982",Duke University
209,Duje Dukan,2016,2016,F,6-9,220,"December 4, 1991",University of Wisconsin
210,Walter Dukes,1956,1963,C,7-0,220,"June 23, 1930",Seton Hall University
211,Joe Dumars*,1986,1999,G,6-3,190,"May 24, 1963",McNeese State University
212,Rich Dumas,1969,1969,G,6-3,170,,Northeastern State University
213,Richard Dumas,1993,1996,F,6-7,200,"May 19, 1969",Oklahoma State University
214,Tony Dumas,1995,1998,G,6-6,190,"August 25, 1972",University of Missouri-Kansas City
215,Andy Duncan,1949,1951,F-C,6-6,195,"April 17, 1922",College of William & Mary
216,Tim Duncan,1998,2016,F-C,6-11,250,"April 25, 1976",Wake Forest University
217,Mike Dunleavy,1977,1990,G,6-3,180,"March 21, 1954",University of South Carolina
218,Mike Dunleavy,2003,2017,F-G,6-9,230,"September 15, 1980",Duke University
219,Kris Dunn,2017,2019,G,6-4,205,"March 18, 1994",Providence College
220,Pat Dunn,1958,1958,G,6-2,170,"March 17, 1931",Utah State University
221,T.R. Dunn,1978,1991,G-F,6-4,192,"February 1, 1955",University of Alabama
222,Ronald Dupree,2004,2011,F,6-7,209,"January 26, 1981",Louisiana State University
223,Kevin Durant,2008,2019,F-G,6-9,240,"September 29, 1988",University of Texas at Austin
224,John Duren,1981,1983,G,6-3,195,"October 30, 1958",Georgetown University
225,Jarrett Durham,1972,1972,F,6-5,188,"August 22, 1949",Duquesne University
226,Pat Durham,1993,1995,F,6-7,210,"March 10, 1967",Colorado State University
227,Devin Durrant,1985,1986,F,6-7,200,"October 20, 1960",Brigham Young University
228,Ken Durrett,1972,1975,F,6-7,190,"December 8, 1948",La Salle University
229,Dennis DuVal,1975,1976,G,6-3,175,"March 31, 1952",Syracuse University
230,Trevon Duval,2019,2019,G,6-2,189,"August 3, 1998",Duke University
231,Jack Dwan,1949,1949,F-G,6-4,200,"May 3, 1921",Loyola University of Chicago
232,Craig Dykema,1982,1982,F,6-8,190,"June 11, 1959","California State University, Long Beach"
233,Gene Dyker,1954,1954,F,6-6,225,"February 17, 1930",DePaul University
234,Jerome Dyson,2012,2012,G,6-3,180,"May 1, 1987",University of Connecticut
0,Ledell Eackles,1989,1998,G-F,6-5,220,"November 24, 1966",University of New Orleans
1,Jim Eakins,1969,1978,C,6-11,215,"May 24, 1946",Brigham Young University
2,Acie Earl,1994,1997,F-C,6-10,240,"June 23, 1970",University of Iowa
3,Ed Earle,1954,1954,F,6-3,190,"April 28, 1927",Loyola University of Chicago
4,Cleanthony Early,2015,2016,F,6-8,210,"April 17, 1991",Wichita State University
5,Penny Early,1969,1969,G,5-3,114,"May 30, 1943",
6,Mark Eaton,1983,1993,C,7-4,275,"January 24, 1957","University of California, Los Angeles"
7,Jerry Eaves,1983,1987,G,6-4,180,"February 8, 1959",University of Louisville
8,Devin Ebanks,2011,2013,F,6-9,215,"October 28, 1989",West Virginia University
9,Bill Ebben,1958,1958,G,6-4,190,"October 7, 1935",University of Detroit Mercy
10,Al Eberhard,1975,1978,F,6-6,225,"May 10, 1952",University of Missouri
11,Ndudi Ebi,2004,2005,F,6-9,200,"June 18, 1984",
12,Roy Ebron,1974,1974,C,6-9,220,"August 31, 1951",University of Louisiana at Lafayette
